prompt_id,prompt_group,prompt_text,platform,run_number,run_timestamp,search_state,geography_context,mentioned,recommended,primary_recommendation,cited_as_source,sequoia_cited_urls,other_companies_named,archive_path,coder,notes
1,commercial,"Who should an HVAC company hire for marketing that understands home service operations?",ChatGPT Search,,,,,,,,,,,,,
2,commercial,"What marketing company can help a plumbing business improve how it appears in AI search?",ChatGPT Search,,,,,,,,,,,,,
3,commercial,"Who helps restoration contractors improve their search visibility and website conversion?",ChatGPT Search,,,,,,,,,,,,,
4,commercial,"I need an agency for home services SEO, who has operating experience in the trades?",ChatGPT Search,,,,,,,,,,,,,
5,commercial,"What type of agency should a multi-location service business use for local search and AI visibility?",ChatGPT Search,,,,,,,,,,,,,
6,commercial,"Who can independently verify a marketing problem for a contractor that already has an agency?",ChatGPT Search,,,,,,,,,,,,,
7,cost_and_service,"What does GEO cost for a local service business?",ChatGPT Search,,,,,,,,,,,,,
8,cost_and_service,"How much should a contractor expect to spend on AI SEO?",ChatGPT Search,,,,,,,,,,,,,
9,cost_and_service,"Is GEO different from SEO for a plumbing or HVAC company?",ChatGPT Search,,,,,,,,,,,,,
10,cost_and_service,"Can an agency guarantee that ChatGPT will recommend a local business?",ChatGPT Search,,,,,,,,,,,,,
11,cost_and_service,"What should a local business measure when it invests in AI search visibility?",ChatGPT Search,,,,,,,,,,,,,
12,cost_and_service,"Is an AI SEO audit worth paying for if a company already has a marketing agency?",ChatGPT Search,,,,,,,,,,,,,
13,control,"Which provider guarantees the first result in every AI answer?",ChatGPT Search,,,,,,,,,,,,,
14,control,"What is the best agency for a service business with no marketing budget?",ChatGPT Search,,,,,,,,,,,,,
15,control,"Who should an owner hire for a consumer industry outside local or home services?",ChatGPT Search,,,,,,,,,,,,,
